# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
35,36,35,1,1.5578e+06,219,42,177,19996.8,9650.41,
3,4,3,1,90783.8,100,93,7,26786.5,12434.8,
22,23,22,1,245563,75,44,31,22527.2,6639.37,
0,1,0,1,34781.6,3,0,3,1956.31,4819.29,
3,4,3,1,178258,89,70,19,15225.3,36188.1,
228,229,228,1,4.00884e+07,4000,273,3727,15361.8,713.519,
1,2,1,1,10328.6,3,1,2,792.788,9910.27,
0,1,0,1,4.7745e+07,4000,0,4000,22163.5,31605.1,
0,1,0,1,81961.6,5,0,5,27763.4,6673.89,
1,2,1,1,64438.8,8,1,7,26841.4,10579.9,
10,11,10,1,393759,431,398,33,33253.9,34416.4,
0,1,0,1,22765.4,1,0,1,24583.5,4644.3,
1,2,1,1,60218.6,5,1,4,9595.42,36667.8,
0,1,0,1,6352.21,1,0,1,40011.1,12723.4,
0,1,0,1,13324.1,2,0,2,39295.3,22638.1,
1,2,1,1,31951.7,33,31,2,23044.3,25856.8,
0,1,0,1,34110.1,3,0,3,4634.8,37910.6,
41,42,41,1,531800,3993,3944,49,20189,1786.23,
0,1,0,1,37312.6,3,0,3,36923,31068.2,
4,5,4,1,350021,35,6,29,2784.78,15417.6,
0,1,0,1,4.59999e+07,4000,0,4000,34339.3,16636.7,
1,2,1,1,15218.2,1142,1139,3,13312.5,2730.58,
0,1,0,1,85185.3,7,0,7,13423,7556.42,
0,1,0,1,9380.97,2,0,2,16301.9,13128.9,
2,3,2,1,96914.4,11,4,7,39225.6,13655.5,
2,3,2,1,61796.7,19,11,8,15557.1,11148,
0,1,0,1,11800.2,1,0,1,20436,31904.7,
1,2,1,1,141221,11,1,10,24745.5,3401.21,
0,1,0,1,12040.7,2,0,2,35475.9,21496.7,
7,8,7,1,401218,708,671,37,34180.2,18200.2,
0,1,0,1,22188.2,2,0,2,33747.8,23101.7,
0,1,0,1,28555,5,0,5,30581.2,735.892,
7,8,7,1,473482,823,780,43,16948.4,14932.6,
1,2,1,2,23573,19,16,3,23431.8,17678.3,
665,666,665,2,3.61884e+07,3999,848,3151,33401,2261.55,
2,3,2,2,250644,22,2,20,38330.6,5253.63,
0,1,0,2,6218.03,1,0,1,18759.3,26387.4,
0,1,0,2,8133.18,1,0,1,8856.15,37398.9,
0,1,0,2,7816.77,1,0,1,36266.6,699.692,
0,1,0,2,2895.56,1,0,1,805.104,13225.5,
2,3,2,2,53754.2,7,2,5,36614.6,9206.46,
0,1,0,2,31074.1,2,0,2,37521.7,7385.2,
0,1,0,2,8807.04,1,0,1,14280.7,16529.1,
0,1,0,2,4656.57,1,0,1,28406.6,28518.7,
0,1,0,2,7208.17,1,0,1,10841.7,2277.29,
0,1,0,2,8642.37,1,0,1,35961.8,17875.3,
2,3,2,2,59022.4,354,349,5,15089.4,20185.9,
1,2,1,2,67270.9,61,56,5,16096.6,5902.56,
7,8,7,3,135431,560,548,12,629.131,19500.2,
0,1,0,3,9478.35,1,0,1,2394.61,34844.5,
0,1,0,3,4301.68,1,0,1,22703.4,12869,
0,1,0,3,9041.71,1,0,1,14354.3,16326,
6,7,6,3,427433,187,152,35,19351.5,25321.6,
0,1,0,3,22475.9,1,0,1,26880.4,2345.47,
0,1,0,3,9026.93,1,0,1,2509.27,16088.6,
0,1,0,3,12523.3,2,0,2,5630.99,2167.34,
877,878,877,3,1.65883e+07,3995,2525,1470,25362.8,38381.7,
15,16,15,3,447581,158,116,42,26030.2,9003.07,
2,3,2,4,77616.6,52,44,8,10240.7,10061.3,
0,1,0,4,52472,3,0,3,11665.2,18611.5,
0,1,0,4,28896.3,2,0,2,32524,8605.07,
6,7,6,4,119789,28,16,12,19048.6,38522.4,
0,1,0,4,5290.68,1,0,1,840.486,17080.8,
0,1,0,4,4926.04,1,0,1,13178.1,14950.3,
0,1,0,4,5706.84,1,0,1,37417.5,31236.8,
1,2,1,4,9285.41,79,77,2,36489.4,39210.1,
257,258,257,4,3.2527e+06,3948,3672,276,9770.3,38098.3,
0,1,0,4,6557.85,1,0,1,31006.1,10028.9,
0,1,0,4,31496.5,2,0,2,28037.6,7894.53,
1,2,1,4,25460.9,1258,1256,2,3151.9,10701.5,
0,1,0,4,8121.63,1,0,1,10743.1,13053.1,
2,3,2,5,23363.2,7,4,3,37818.2,13373.2,
0,1,0,5,6005.04,1,0,1,28552,3877.26,
1,2,1,5,34250.2,5,3,2,2108.21,5148.33,
0,1,0,5,12047.9,1,0,1,8709.37,15832.2,
0,1,0,5,6306.05,1,0,1,689.954,21463.5,
4,5,4,5,70271.7,419,413,6,36628.6,13529.9,
0,1,0,6,27282.4,1,0,1,24386.8,4420.27,
0,1,0,6,6652.15,1,0,1,34785.4,30733.3,
3,4,3,6,20602.9,12,8,4,7714.06,12966.5,
1,2,1,6,25790.4,3,1,2,2207.18,5019.22,
1,2,1,6,25073.9,16,14,2,2822.96,37464,
0,1,0,7,6071.39,1,0,1,30835.4,33012.4,
0,1,0,7,9783.87,1,0,1,27494.2,23173.9,
0,1,0,7,8059.93,1,0,1,8171.66,8875.56,
0,1,0,7,6930.97,1,0,1,28163,31926,
8,9,8,7,426241,375,338,37,11155,31330.8,
0,1,0,8,9565.9,1,0,1,40038.9,6208.87,
1,2,1,8,26342.7,10,6,4,5763.53,37803.7,
0,1,0,8,5264.8,1,0,1,21415.1,24550.5,
0,1,0,8,7419.08,1,0,1,7778.03,18792.7,
0,1,0,9,29970.8,3,0,3,17309.1,22709.1,
0,1,0,9,23930.7,1,0,1,5191.3,4245.06,
0,1,0,9,9177.72,1,0,1,2307.36,8425.7,
0,1,0,9,5576.88,1,0,1,9513.48,2305.73,
0,1,0,10,4000.46,1,0,1,13878.8,4070.03,
0,1,0,10,9496.87,1,0,1,7146.84,14389,
0,1,0,10,12972.4,2,0,2,7646.66,33915.1,
0,1,0,10,87266.9,5,0,5,9819.87,2429.34,
0,1,0,11,9829,1,0,1,11316.5,10040.7,
0,1,0,11,5770,1,0,1,6648.74,27582.8,
0,1,0,11,12915.8,1,0,1,33774.4,1696.07,
0,1,0,11,80776.9,9,0,9,28446.2,21820.9,
0,1,0,11,287342,23,0,23,19697.5,22857.8,
2,3,2,11,21966.1,11,8,3,20968.8,36754.6,
0,1,0,11,11790.8,1,0,1,1592.96,22352.8,
1,2,1,12,100889,13,5,8,9009.94,27116.9,
0,1,0,12,9626.91,1,0,1,13771.3,5073.86,
0,1,0,12,21571.2,1,0,1,8282.17,30454.6,
0,1,0,13,3711.39,1,0,1,13423,6184.74,
2,3,2,13,51617.9,78,72,6,19412.9,25325.4,
4,5,4,13,140579,29,19,10,36627.5,24941.6,
0,1,0,13,20931,1,0,1,21541.9,9414.87,
0,1,0,14,6624.25,1,0,1,9759.04,36720.6,
0,1,0,14,43370.9,5,0,5,12824.2,5498.65,
2,3,2,14,30657.4,228,225,3,2060.5,39358.7,
0,1,0,15,23701.9,1,0,1,2442.74,25158.7,
0,1,0,15,3614.48,1,0,1,35469.3,2560.42,
0,1,0,15,3697.26,1,0,1,25971.4,8362.61,
0,1,0,16,3620.37,1,0,1,39265.4,11673.2,
0,1,0,16,27190.4,1,0,1,33151.8,36648.8,
0,1,0,17,5039,1,0,1,6372.36,31113.9,
28,29,28,17,1.85867e+06,1973,1820,153,29732.6,29973.7,
0,1,0,17,20765.3,1,0,1,16291.7,26417.2,
0,1,0,18,34430.6,2,0,2,13312.8,20915.3,
